book name,book rating,book price,book stock,category
It's Only the Himalayas,2,4765.44,In stock,Travel
Full Moon over Noahâs ...,4,5214.86,In stock,Travel
See America: A Celebration ...,3,5155.78,In stock,Travel
Vagabonding: An Uncommon Guide ...,2,3897.17,In stock,Travel
Under the Tuscan Sun,3,3938.31,In stock,Travel
A Summer In Europe,2,4677.87,In stock,Travel
The Great Railway Bazaar,1,3221.97,In stock,Travel
A Year in Provence ...,4,6000.84,In stock,Travel
The Road to Little ...,1,2448.66,In stock,Travel
Neither Here nor There: ...,3,4109.23,In stock,Travel
"1,000 Places to See ...",5,2751.44,In stock,Travel
Sharp Objects,4,5045.01,In stock,Mystery
"In a Dark, Dark ...",1,2070.96,In stock,Mystery
The Past Never Ends,4,5960.75,In stock,Mystery
A Murder in Time,1,1755.52,In stock,Mystery
The Murder of Roger ...,4,4652.55,In stock,Mystery
The Last Mile (Amos ...,2,5719.15,In stock,Mystery
That Darkness (Gardiner and ...,1,1468.56,In stock,Mystery
Tastes Like Fear (DI ...,1,1127.79,In stock,Mystery
A Time of Torment ...,5,5100.93,In stock,Mystery
A Study in Scarlet ...,2,1765.02,In stock,Mystery
Poisonous (Max Revere Novels ...,3,2827.4,In stock,Mystery
Murder at the 42nd ...,4,5734.98,In stock,Mystery
Most Wanted,3,3722.04,In stock,Mystery
Hide Away (Eve Duncan ...,1,1249.12,In stock,Mystery
Boar Island (Anna Pigeon ...,3,6275.14,In stock,Mystery
The Widow,2,2875.93,In stock,Mystery
Playing with Fire,3,1446.41,In stock,Mystery
What Happened on Beale ...,5,2676.54,In stock,Mystery
The Bachelor Girl's Guide ...,5,5517.65,In stock,Mystery
Delivering the Truth (Quaker ...,4,2203.89,In stock,Mystery
Tipping the Velvet,1,5669.57,In stock,Historical Fiction
Forever and Forever: The ...,3,3132.3,In stock,Historical Fiction
A Flight of Arrows ...,5,5858.41,In stock,Historical Fiction
The House by the ...,1,3898.23,In stock,Historical Fiction
Mrs. Houdini,5,3191.38,In stock,Historical Fiction
The Marriage of Opposites,4,2962.44,In stock,Historical Fiction
Glory over Everything: Beyond ...,3,4836.12,In stock,Historical Fiction
"Love, Lies and Spies",2,2168.03,In stock,Historical Fiction
A Paris Apartment,4,4115.55,In stock,Historical Fiction
Lilac Girls,2,1823.04,In stock,Historical Fiction
The Constant Princess (The ...,3,1753.41,In stock,Historical Fiction
The Invention of Wings,1,3939.37,In stock,Historical Fiction
World Without End (The ...,4,3478.34,In stock,Historical Fiction
The Passion of Dolssa,5,2987.76,In stock,Historical Fiction
Girl With a Pearl ...,1,2824.24,In stock,Historical Fiction
Voyager (Outlander #3),5,2222.89,In stock,Historical Fiction
The Red Tent,5,3762.13,In stock,Historical Fiction
The Last Painting of ...,2,5860.52,In stock,Historical Fiction
The Guernsey Literary and ...,1,5225.41,In stock,Historical Fiction
Girl in the Blue ...,2,4940.56,In stock,Historical Fiction
Scott Pilgrim's Precious Little ...,5,5516.6,In stock,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 ...,1,1717.54,In stock,Sequential Art
This One Summer,4,2056.19,In stock,Sequential Art
The Nameless City (The ...,4,4025.88,In stock,Sequential Art
"Saga, Volume 5 (Saga ...",2,5384.72,In stock,Sequential Art
"Rat Queens, Vol. 3: ...",3,5317.2,In stock,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, ...",5,1435.86,In stock,Sequential Art
"Pop Gun War, Volume ...",1,2001.33,In stock,Sequential Art
Patience,3,1071.88,In stock,Sequential Art
"Outcast, Vol. 1: A ...",4,1628.92,In stock,Sequential Art
orange: The Complete Collection ...,1,5107.25,In stock,Sequential Art
"Lumberjanes, Vol. 2: Friendship ...",2,4949.0,In stock,Sequential Art
"Lumberjanes, Vol. 1: Beware ...",3,4811.85,In stock,Sequential Art
Lumberjanes Vol. 3: A ...,2,2101.56,In stock,Sequential Art
"I Hate Fairyland, Vol. ...",2,3077.44,In stock,Sequential Art
I am a Hero ...,3,5763.47,In stock,Sequential Art
"Giant Days, Vol. 2 ...",2,2332.61,In stock,Sequential Art
Danganronpa Volume 1,4,5484.95,In stock,Sequential Art
"Codename Baboushka, Volume 1: ...",4,3873.96,In stock,Sequential Art
Camp Midnight,4,1801.94,In stock,Sequential Art
