book name,book rating,book price,book stock,category
It's Only the Himalayas,2,4765.44,1,Travel
Full Moon over Noahâs ...,4,5214.86,1,Travel
See America: A Celebration ...,3,5155.78,1,Travel
Vagabonding: An Uncommon Guide ...,2,3897.17,1,Travel
Under the Tuscan Sun,3,3938.31,1,Travel
A Summer In Europe,2,4677.87,1,Travel
The Great Railway Bazaar,1,3221.97,1,Travel
A Year in Provence ...,4,6000.84,1,Travel
The Road to Little ...,1,2448.66,1,Travel
Neither Here nor There: ...,3,4109.23,1,Travel
"1,000 Places to See ...",5,2751.44,1,Travel
Sharp Objects,4,5045.01,1,Mystery
"In a Dark, Dark ...",1,2070.96,1,Mystery
The Past Never Ends,4,5960.75,1,Mystery
A Murder in Time,1,1755.52,1,Mystery
The Murder of Roger ...,4,4652.55,1,Mystery
The Last Mile (Amos ...,2,5719.15,1,Mystery
That Darkness (Gardiner and ...,1,1468.56,1,Mystery
Tastes Like Fear (DI ...,1,1127.79,1,Mystery
A Time of Torment ...,5,5100.93,1,Mystery
A Study in Scarlet ...,2,1765.02,1,Mystery
Poisonous (Max Revere Novels ...,3,2827.4,1,Mystery
Murder at the 42nd ...,4,5734.98,1,Mystery
Most Wanted,3,3722.04,1,Mystery
Hide Away (Eve Duncan ...,1,1249.12,1,Mystery
Boar Island (Anna Pigeon ...,3,6275.14,1,Mystery
The Widow,2,2875.93,1,Mystery
Playing with Fire,3,1446.41,1,Mystery
What Happened on Beale ...,5,2676.54,1,Mystery
The Bachelor Girl's Guide ...,5,5517.65,1,Mystery
Delivering the Truth (Quaker ...,4,2203.89,1,Mystery
Tipping the Velvet,1,5669.57,1,Historical Fiction
Forever and Forever: The ...,3,3132.3,1,Historical Fiction
A Flight of Arrows ...,5,5858.41,1,Historical Fiction
The House by the ...,1,3898.23,1,Historical Fiction
Mrs. Houdini,5,3191.38,1,Historical Fiction
The Marriage of Opposites,4,2962.44,1,Historical Fiction
Glory over Everything: Beyond ...,3,4836.12,1,Historical Fiction
"Love, Lies and Spies",2,2168.03,1,Historical Fiction
A Paris Apartment,4,4115.55,1,Historical Fiction
Lilac Girls,2,1823.04,1,Historical Fiction
The Constant Princess (The ...,3,1753.41,1,Historical Fiction
The Invention of Wings,1,3939.37,1,Historical Fiction
World Without End (The ...,4,3478.34,1,Historical Fiction
The Passion of Dolssa,5,2987.76,1,Historical Fiction
Girl With a Pearl ...,1,2824.24,1,Historical Fiction
Voyager (Outlander #3),5,2222.89,1,Historical Fiction
The Red Tent,5,3762.13,1,Historical Fiction
The Last Painting of ...,2,5860.52,1,Historical Fiction
The Guernsey Literary and ...,1,5225.41,1,Historical Fiction
Girl in the Blue ...,2,4940.56,1,Historical Fiction
Scott Pilgrim's Precious Little ...,5,5516.6,1,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 ...,1,1717.54,1,Sequential Art
This One Summer,4,2056.19,1,Sequential Art
The Nameless City (The ...,4,4025.88,1,Sequential Art
"Saga, Volume 5 (Saga ...",2,5384.72,1,Sequential Art
"Rat Queens, Vol. 3: ...",3,5317.2,1,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, ...",5,1435.86,1,Sequential Art
"Pop Gun War, Volume ...",1,2001.33,1,Sequential Art
Patience,3,1071.88,1,Sequential Art
"Outcast, Vol. 1: A ...",4,1628.92,1,Sequential Art
orange: The Complete Collection ...,1,5107.25,1,Sequential Art
"Lumberjanes, Vol. 2: Friendship ...",2,4949.0,1,Sequential Art
"Lumberjanes, Vol. 1: Beware ...",3,4811.85,1,Sequential Art
Lumberjanes Vol. 3: A ...,2,2101.56,1,Sequential Art
"I Hate Fairyland, Vol. ...",2,3077.44,1,Sequential Art
I am a Hero ...,3,5763.47,1,Sequential Art
"Giant Days, Vol. 2 ...",2,2332.61,1,Sequential Art
Danganronpa Volume 1,4,5484.95,1,Sequential Art
"Codename Baboushka, Volume 1: ...",4,3873.96,1,Sequential Art
Camp Midnight,4,1801.94,1,Sequential Art
